LaboratoryName,PrimeAddress,City,State,Country,,,,,,,,,,,,,,,,,,
C AND I CALIBRATIONS PVT. LTD.,"F-717A, SITAPURA INDUSTRIAL AREA",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
CABCON TECHNOLOGIES QA LAB,"JALAN PARK, JALA DHULAGORI, SANKARAIL INDUSTRIAL PARK",Howrah,West Bengal,India,,,,,,,,,,,,,,,,,,
"CABLE TESTING LABORATORY, TORRENT ELECTRICALS LIMITED",YOGINAGAR MISSION ROAD,Nadiad,Gujarat,India,,,,,,,,,,,,,,,,,,
CAPITAL POWER SYSTEMS LTD. - METER TESTING LABORATORY,B-40 SECTOR-4,Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
CARGILL INDIA PRIVATE LIMITED,"PLOT : E4, MIDC AREA",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
CCR QA/QC LABORATORY-BIRLA COPPER ASOJ PRIVATE LIMITED,"SURVEY NO. 21 , VILLAGE - ASOJ, VADODARA - HALOL HIGHWAY,TA - WAGHODIA",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
CEEPCALIBRATION AND TESTING LLP,"638, GIDC. MAKARPURA INDUSTRIAL ESTATE, MAKARPURA",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
CENTRAL COAL AND OIL TESTING LABORATORY,"MAHAGENCO, EXPANSION SERVICE BUILDING, KORADI",Nagpur,Maharashtra,India,,,,,,,,,,,,,,,,,,
CENTRAL ELECTRICAL TESTING LABORATORY,KAKKALUR,Tiruvallur,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"CENTRAL ELECTRONICS CENTRE, INDIAN INSTITUTE OF TECHNOLOGY, MADRAS",IIT MADRAS,Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
CENTRAL INSTITUTE OF PETROCHEMICAL ENGINEERING AND TECHNOLOGY (CIPET),"B-25, C. N. I. COMPLEX, PATIA",Bhubaneswar,Odisha,India,,,,,,,,,,,,,,,,,,
CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY,"CITY CENTRE, P.O. DEBHOG",Haldia,West Bengal,India,,,,,,,,,,,,,,,,,,
CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET),"SP-1298, SITAPURA INDUSTRIAL AREA, PHASE-III",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
"CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET), DEHRADUN","CSTS, DEHRADUN-HARIDWAR ROAD, POST - BHANIYAWALA, DOIWALA",Dehradun,Uttarakhand,India,,,,,,,,,,,,,,,,,,
CENTRAL INSTITUTE OF ROAD TRANSPORT (CIRT),"BHOSARI, PUNE - NASIK ROAD",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
CENTRAL INSULATING OIL TESTING LABORATORY,"POWERGRID, MEDCHEL MALKAJGIRI",Ghatkesar,Telangana,India,,,,,,,,,,,,,,,,,,
"CENTRAL LABORATORY, BUREAU OF INDIAN STANDARDS","20/9, SITE-4, SAHIBABAD INDUSTRIAL AREA",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"CENTRAL LABORATORY, HINDALCO INDUSTRIES LIMITED",P.O. RENUKUT,Renukut,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"CENTRAL LABORATORY, THE SUPREME INDUSTRIES LTD","SF.NO. 22/2B, 22/3, 23/1B, 24/1 A, 593/1 B1, BYRAMANGALAM (VILLAGE & POST), KELAMANGALAM PANCHAYAT, DENKANIKOTTAI TALUK",Hosur,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"CENTRAL METER TESTING LABORATORY, J.V.V.N.L","HAWA SARAK, CIVIL LINES",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
CENTRAL POWER RESEARCH INSTITUTE,PROF SIR C V RAMAN ROAD,Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
CENTRAL POWER RESEARCH INSTITUTE,"REGIONAL TESTING LABORATORY, PLOT 3A, INSTITUTIONAL AREA, SECTOR-62, GAUTAM BUDDHA NAGAR",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"CENTRAL POWER RESEARCH INSTITUTE, SWITCHGEAR TESTING AND DEVELOPMENT STATION",GOVINDPURA,Bhopal,Madhya Pradesh,India,,,,,,,,,,,,,,,,,,
"CENTRAL TESTING LABORATORY, EVEREADY INDUSTRIES INDIA LIMITED","P-4, TRANSPORT DEPOT ROAD, TARATALA",Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
CENTRE OF EXCELLENCE IN ELECTRONIC PRODUCTS DESIGN AND TESTING LAB (COE-EPDTL),"CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING (CDAC), GROUND FLOOR & SECOND FLOOR, B-30, SECTOR-62",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT, TRANSFORMER TESTING LABORATORY",CENTURION UNIVERSITY CAMPUS,Bhubaneswar,Odisha,India,,,,,,,,,,,,,,,,,,
"CESC TESTING LABORATORY, TESTING DEPARTMENT, CESC LIMITED","4, SASHI SEKHAR BOSE ROW",Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
"CHAMUNDA ELECTRICAL LIMITED, TESTING DIVISION","125-126, SECOND FLOOR, RAJ HARMONY, UGAT-BHESAN CANAL ROAD, JAHANGIRABAD",Surat,Gujarat,India,,,,,,,,,,,,,,,,,,
"CHEMICAL AND METALLURGICAL LABORATORY, MATERIAL TECHNOLOGY CENTRE, LOCO WORKSHOP",PERAMBUR,Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
